"customer_id","faturamento_total","frequencia","diversidade_categorias","ticket_medio"
300,2574376.64,13,13,198028.972307692308
1691,2800727.65,16,14,175045.478125000000
1477,2950075.04,17,13,173533.825882352941
1558,2423112.83,14,13,173079.487857142857
1470,3768653.20,22,14,171302.418181818182
1527,3252634.23,19,14,171191.275263157895
1784,2553421.04,15,14,170228.069333333333
1505,1869600.74,11,14,169963.703636363636
568,3058666.95,18,14,169925.941666666667
938,2990084.31,18,13,166115.795000000000
